uri	http://www.wikidata.org/entity/Q8842943	en	literal	Estado Libre del Istmo
uri	http://www.wikidata.org/entity/Q23366230	en	literal	Republic of Geneva
uri	http://www.wikidata.org/entity/Q757	en	literal	Saint Vincent and the Grenadines
uri	http://www.wikidata.org/entity/Q16	en	literal	Canada
uri	http://www.wikidata.org/entity/Q17	en	literal	Japan
uri	http://www.wikidata.org/entity/Q760	en	literal	Saint Lucia
uri	http://www.wikidata.org/entity/Q763	en	literal	Saint Kitts and Nevis
uri	http://www.wikidata.org/entity/Q20	en	literal	Norway
uri	http://www.wikidata.org/entity/Q766	en	literal	Jamaica
uri	http://www.wikidata.org/entity/Q27	en	literal	Ireland
uri	http://www.wikidata.org/entity/Q769	en	literal	Grenada
uri	http://www.wikidata.org/entity/Q28	en	literal	Hungary
uri	http://www.wikidata.org/entity/Q774	en	literal	Guatemala
uri	http://www.wikidata.org/entity/Q29	en	literal	Spain
uri	http://www.wikidata.org/entity/Q778	en	literal	Bahamas
uri	http://www.wikidata.org/entity/Q30	en	literal	United States of America
uri	http://www.wikidata.org/entity/Q781	en	literal	Antigua and Barbuda
uri	http://www.wikidata.org/entity/Q31	en	literal	Belgium
uri	http://www.wikidata.org/entity/Q783	en	literal	Honduras
uri	http://www.wikidata.org/entity/Q32	en	literal	Luxembourg
uri	http://www.wikidata.org/entity/Q33	en	literal	Finland
uri	http://www.wikidata.org/entity/Q786	en	literal	Dominican Republic
uri	http://www.wikidata.org/entity/Q784	en	literal	Dominica
uri	http://www.wikidata.org/entity/Q790	en	literal	Haiti
uri	http://www.wikidata.org/entity/Q34	en	literal	Sweden
uri	http://www.wikidata.org/entity/Q792	en	literal	El Salvador
uri	http://www.wikidata.org/entity/Q35	en	literal	Denmark
uri	http://www.wikidata.org/entity/Q36	en	literal	Poland
uri	http://www.wikidata.org/entity/Q794	en	literal	Iran
uri	http://www.wikidata.org/entity/Q796	en	literal	Iraq
uri	http://www.wikidata.org/entity/Q37	en	literal	Lithuania
uri	http://www.wikidata.org/entity/Q38	en	literal	Italy
uri	http://www.wikidata.org/entity/Q801	en	literal	Israel
uri	http://www.wikidata.org/entity/Q39	en	literal	Switzerland
uri	http://www.wikidata.org/entity/Q800	en	literal	Costa Rica
uri	http://www.wikidata.org/entity/Q40	en	literal	Austria
uri	http://www.wikidata.org/entity/Q804	en	literal	Panama
uri	http://www.wikidata.org/entity/Q805	en	literal	Yemen
uri	http://www.wikidata.org/entity/Q41	en	literal	Greece
uri	http://www.wikidata.org/entity/Q43	en	literal	Turkey
uri	http://www.wikidata.org/entity/Q810	en	literal	Jordan
uri	http://www.wikidata.org/entity/Q813	en	literal	Kyrgyzstan
uri	http://www.wikidata.org/entity/Q45	en	literal	Portugal
uri	http://www.wikidata.org/entity/Q77	en	literal	Uruguay
uri	http://www.wikidata.org/entity/Q811	en	literal	Nicaragua
uri	http://www.wikidata.org/entity/Q822	en	literal	Lebanon
uri	http://www.wikidata.org/entity/Q817	en	literal	Kuwait
uri	http://www.wikidata.org/entity/Q826	en	literal	Maldives
uri	http://www.wikidata.org/entity/Q79	en	literal	Egypt
uri	http://www.wikidata.org/entity/Q114	en	literal	Kenya
uri	http://www.wikidata.org/entity/Q819	en	literal	Laos
uri	http://www.wikidata.org/entity/Q96	en	literal	Mexico
uri	http://www.wikidata.org/entity/Q115	en	literal	Ethiopia
