abbrev_org,name_org,date de création,GPS_siege,longitude_siege,point_palladio,latitude_siege,nom_siege,members,nombre_pays_membres,population_org,soldats_org,mortsGuerre_org,depensesMilitairesPIB_org,exportations_org,importations_org,superficie_org
ACP,"African, Caribbean, and Pacific Countries",1976-04-01,,,,,,"Micronesia\Federated States Of\Guinea-Bissa\Ethiopia\Swaziland\Bahamas\The\Burkina Faso\Rwanda\Congo\Republic Of The\Cape Verde\Dominica\Liberia\Tanzania\Saint Kitts And Nevis\Gabon\Niue\Senegal\Jamaica\Samoa\Madagascar\Lesotho\Saint Vincent And The Grenadines\Kenya\Mauritania\Solomon Islands\Saint Lucia\Congo\Democratic Republic Of The\Tonga\Somalia\Naur\Seychelles\Malawi\Cook Islands\Benin\Cuba\Cameroon\Togo\Dominican Republic\Ghana\Central African Republic\Mauritius\Antigua And Barbuda\Angola\Chad\South Africa\Uganda\Niger\Guinea\Mali\Pala\Nigeria\Tuval\Marshall Islands\Kiribati\Haiti\Belize\Sierra Leone\Sao Tome And Principe\Grenada\Equatorial Guinea\Djibouti\Timor-Leste\Burundi\Fiji\Barbados\Sudan\Suriname\Zambia\Mozambique\Papua New Guinea\Zimbabwe\Vanuat\u""Cote DIvoire""\Eritrea\Guyana\Botswana\Trinidad And Tobago\Gambia\The\Namibia\Comoros",84,916970122,1649812,3915,58.814791814334264,31201.312202999994,27193.5545475,2.54589666E7
AfDB,African Development Bank,1963-08-04,POINT(-4.026666666 5.336388888),-4.026666666000001,"5.336388888, -4.026666666",5.336388888,Abidjan,"Canada\Guinea-Bissa\Ethiopia\Swaziland\Argentina\Burkina Faso\Saudi Arabia\Rwanda\Congo\Republic Of The\Japan\Cape Verde\Kuwait\Liberia\Tanzania\Gabon\Senegal\India\Madagascar\Lesotho\Kenya\Mauritania\Congo\Democratic Republic Of The\France\Somalia\Seychelles\Norway\Malawi\Benin\Cameroon\Togo\China\Ghana\Finland\Libya\Central African Republic\Mauritius\United States\Angola\Chad\South Africa\Sweden\Austria\Uganda\Niger\Brazil\Guinea\Mali\Nigeria\Algeria\Belgium\Sierra Leone\Denmark\Sao Tome And Principe\Morocco\Switzerland\Portugal\Equatorial Guinea\Korea\South\Tunisia\Djibouti\Spain\Burundi\Italy\Sudan\Netherlands\Zambia\Mozambique\Zimbabwe\Germany\u""Cote DIvoire""\Eritrea\Egypt\Botswana\United Kingdom\Gambia\The\Namibia\Comoros",81,4753995890,12230938,8377,102.21414166036155,33705.2922411,30135.6581456,8.0085719E7
ACCT,Agency for Cultural and Technical Cooperation,1970-03-21,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
OPANAL,Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,1967-02-14,,,,,,Argentina\Bolivia\Bahamas\The\Guatemala\Dominica\Saint Kitts And Nevis\Jamaica\Uruguay\Saint Vincent And The Grenadines\Saint Lucia\Per\Cuba\Dominican Republic\Antigua And Barbuda\Brazil\Panama\Costa Rica\Ecuador\El Salvador\Chile\Haiti\Belize\Mexico\Grenada\Colombia\Barbados\Suriname\Venezuela\Guyana\Honduras\Nicaragua\Trinidad And Tobago\Paraguay,34,591662155,2332597,202,27.435587113974016,10445.884377820003,9011.593949499997,2.04382166E7
AG,Andean Group,1969-05-26,POINT(-77.033333333 -12.05),-77.033333333,"-12.05, -77.033333333",-12.05,Lima,,0,0,0,0,0.0,0.0,0.0,0.0
ABEDA,Arab Bank for Economic Development in Africa,1974-02-18,POINT(32.52654 15.60308),32.526540000000004,"15.60308, 32.52654",15.603079999999999,Khartoum,Bahrain\Saudi Arabia\Kuwait\Oman\United Arab Emirates\Mauritania\Libya\Qatar\Algeria\Jordan\Morocco\Iraq\Lebanon\Tunisia\Sudan\Syria\Egypt,17,317134585,2289710,6513,48.22641831012741,7363.757893,6509.734815300001,1.2585597E7
ACC,Arab Cooperation Council,1989-02-16,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
AFESD,Arab Fund for Economic and Social Development,1968-05-16,POINT(47.98 29.375),47.98,"29.375, 47.98",29.375,Kuwait City,Bahrain\Saudi Arabia\Kuwait\Oman\Yemen\United Arab Emirates\Mauritania\Somalia\Libya\Qatar\Algeria\Jordan\Morocco\Iraq\Lebanon\Tunisia\Djibouti\Sudan\Syria\Egypt,20,351950791,2305860,8450,48.22641831012741,7926.5455397,7106.853964300001,1.3774422E7
AL,Arab League,1945-03-22,POINT(31.234722 30.044167),31.234721999999998,"30.044167, 31.234722",30.044166999999998,Headquarters of the Arab League,,0,0,0,0,0.0,0.0,0.0,0.0
AMU,Arab Maghreb Union,1989-02-17,POINT(-6.836111111 34.025277777),-6.836111111,"34.025277777, -6.836111111",34.025277777,Rabat,Mauritania\Libya\Algeria\Morocco\Tunisia,5,87472078,631650,4037,9.1844756703692,1855.0840032,1936.2299409,5782141.0
